invoice_number,stock_code,description,quantity,invoice_datetime,invoice_date,invoice_time,unit_price,customer_id,country
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 08:26:00,2010-12-01,08:26:00,2.55,17850.0,United Kingdom
536366,22633,HAND WARMER UNION JACK,6,2010-12-01 08:28:00,2010-12-01,08:28:00,1.85,17850.0,United Kingdom
536367,84879,ASSORTED COLOUR BIRD ORNAMENT,32,2010-12-01 08:34:00,2010-12-01,08:34:00,1.69,13047.0,United Kingdom
536367,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,2010-12-01 08:34:00,2010-12-01,08:34:00,3.75,13047.0,United Kingdom
536367,21754,HOME BUILDING BLOCK WORD,3,2010-12-01 08:34:00,2010-12-01,08:34:00,5.95,13047.0,United Kingdom
536367,21755,LOVE BUILDING BLOCK WORD,3,2010-12-01 08:34:00,2010-12-01,08:34:00,5.95,13047.0,United Kingdom
536367,48187,DOORMAT NEW ENGLAND,4,2010-12-01 08:34:00,2010-12-01,08:34:00,7.95,13047.0,United Kingdom
536368,22960,JAM MAKING SET WITH JARS,6,2010-12-01 08:34:00,2010-12-01,08:34:00,4.25,13047.0,United Kingdom
536370,22728,ALARM CLOCK BAKELIKE PINK,24,2010-12-01 08:45:00,2010-12-01,08:45:00,3.75,12583.0,France
536370,22727,ALARM CLOCK BAKELIKE RED ,24,2010-12-01 08:45:00,2010-12-01,08:45:00,3.75,12583.0,France
536370,22726,ALARM CLOCK BAKELIKE GREEN,12,2010-12-01 08:45:00,2010-12-01,08:45:00,3.75,12583.0,France
536370,21791,VINTAGE HEADS AND TAILS CARD GAME ,24,2010-12-01 08:45:00,2010-12-01,08:45:00,1.25,12583.0,France
536370,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,24,2010-12-01 08:45:00,2010-12-01,08:45:00,2.95,12583.0,France
536370,22629,SPACEBOY LUNCH BOX ,24,2010-12-01 08:45:00,2010-12-01,08:45:00,1.95,12583.0,France
536370,22659,LUNCH BOX I LOVE LONDON,24,2010-12-01 08:45:00,2010-12-01,08:45:00,1.95,12583.0,France
536370,21731,RED TOADSTOOL LED NIGHT LIGHT,24,2010-12-01 08:45:00,2010-12-01,08:45:00,1.65,12583.0,France
536371,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,80,2010-12-01 09:00:00,2010-12-01,09:00:00,2.55,13748.0,United Kingdom
536372,22633,HAND WARMER UNION JACK,6,2010-12-01 09:01:00,2010-12-01,09:01:00,1.85,17850.0,United Kingdom
536373,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 09:02:00,2010-12-01,09:02:00,2.55,17850.0,United Kingdom
536373,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,2010-12-01 09:02:00,2010-12-01,09:02:00,4.95,17850.0,United Kingdom
536373,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,2010-12-01 09:02:00,2010-12-01,09:02:00,6.95,17850.0,United Kingdom
536373,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2010-12-01 09:02:00,2010-12-01,09:02:00,2.1,17850.0,United Kingdom
536373,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2010-12-01 09:02:00,2010-12-01,09:02:00,2.55,17850.0,United Kingdom
536375,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 09:32:00,2010-12-01,09:32:00,2.55,17850.0,United Kingdom
536375,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,2010-12-01 09:32:00,2010-12-01,09:32:00,4.95,17850.0,United Kingdom
536375,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,2010-12-01 09:32:00,2010-12-01,09:32:00,6.95,17850.0,United Kingdom
536375,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2010-12-01 09:32:00,2010-12-01,09:32:00,2.1,17850.0,United Kingdom
536375,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2010-12-01 09:32:00,2010-12-01,09:32:00,2.55,17850.0,United Kingdom
536376,22114,HOT WATER BOTTLE TEA AND SYMPATHY,48,2010-12-01 09:32:00,2010-12-01,09:32:00,3.45,15291.0,United Kingdom
536376,21733,RED HANGING HEART T-LIGHT HOLDER,64,2010-12-01 09:32:00,2010-12-01,09:32:00,2.55,15291.0,United Kingdom
536377,22633,HAND WARMER UNION JACK,6,2010-12-01 09:34:00,2010-12-01,09:34:00,1.85,17850.0,United Kingdom
536378,22386,JUMBO BAG PINK POLKADOT,10,2010-12-01 09:37:00,2010-12-01,09:37:00,1.95,14688.0,United Kingdom
536378,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,2010-12-01 09:37:00,2010-12-01,09:37:00,1.95,14688.0,United Kingdom
536378,20723,STRAWBERRY CHARLOTTE BAG,10,2010-12-01 09:37:00,2010-12-01,09:37:00,0.85,14688.0,United Kingdom
536378,20725,LUNCH BAG RED RETROSPOT,10,2010-12-01 09:37:00,2010-12-01,09:37:00,1.65,14688.0,United Kingdom
536378,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,2010-12-01 09:37:00,2010-12-01,09:37:00,2.55,14688.0,United Kingdom
